Participant,Expert,Snippet,Linearity,HasError,Scrambled,HitsLine,HitsBlocks,HitsAnswer,VerticalNext,VerticalLater,Regression,HorizontalLater,LineRegression,SaccadeLength,StoryOrder_Naive_Score,StoryOrder_Dynamic_Score,StoryOrder_Dynamic_Repetitions,ExecOrder_Naive_Score,ExecOrder_Dynamic_Score,ExecOrder_Dynamic_Repetitions
4b43c5df,False,Rectangle,E,False,True,0.6280193236714976,0.7342995169082126,0.11594202898550725,0.13076923076923078,0.33076923076923076,0.2692307692307692,0.2230769230769231,0.16923076923076924,111.7167450351212,-87,-66,2,-91,-91,1
6fdcd858,False,Rectangle,E,False,True,0.5671140939597316,0.7785234899328859,0.053691275167785234,0.08284023668639054,0.28994082840236685,0.3136094674556213,0.1952662721893491,0.1952662721893491,83.50132615543195,-164,-160,2,-168,-162,2
b9872ee6,False,Rectangle,E,False,True,0.5083798882681564,0.8324022346368715,0.0335195530726257,0.16483516483516483,0.32967032967032966,0.31868131868131866,0.1978021978021978,0.14285714285714285,87.08637427047177,-84,-77,2,-95,-95,1
44fcc483,False,SignChecker,D,True,True,0.848297213622291,0.8823529411764706,0.030959752321981424,0.13503649635036497,0.30656934306569344,0.26277372262773724,0.27007299270072993,0.15693430656934307,90.07900487943938,-230,-142,4,-238,-188,3
49b9b7d0,False,SignChecker,D,True,True,0.7544378698224852,0.7514792899408284,0.10946745562130178,0.12156862745098039,0.26666666666666666,0.29411764705882354,0.22745098039215686,0.20784313725490197,116.37251167042255,-221,-180,4,-206,-189,2
4b43c5df,False,SignChecker,D,True,True,0.7359550561797753,0.7640449438202247,0.07865168539325842,0.1984732824427481,0.3511450381679389,0.2824427480916031,0.183206106870229,0.17557251908396945,93.7031352710158,-85,-65,3,-105,-103,2
9cf666e2,False,SignChecker,D,True,True,0.7929155313351499,0.8474114441416893,0.0326975476839237,0.18213058419243985,0.3539518900343643,0.3230240549828179,0.17525773195876287,0.14432989690721648,110.87222643743473,-325,-244,5,-327,-289,4
0fed8025,False,Street,E,True,True,0.3952380952380952,0.6619047619047619,0.04285714285714286,0.13253012048192772,0.3614457831325301,0.27710843373493976,0.08433734939759036,0.26506024096385544,84.41671743180599,-61,-36,3,-65,-52,2
49b9b7d0,False,Street,E,True,True,0.8120805369127517,0.8389261744966443,0.040268456375838924,0.1487603305785124,0.2809917355371901,0.2396694214876033,0.2644628099173554,0.2066115702479339,104.94217158677372,-91,-83,3,-85,-64,3
6fdcd858,False,Street,E,True,True,0.4942528735632184,0.7514367816091954,0.02586206896551724,0.13953488372093023,0.33430232558139533,0.35174418604651164,0.19767441860465115,0.11337209302325581,70.2861725573765,-401,-202,11,-413,-249,10
c28e1675,False,Street,E,True,True,0.6811320754716981,0.6962264150943396,0.06792452830188679,0.12188365650969529,0.29362880886426596,0.27977839335180055,0.23268698060941828,0.19113573407202217,74.37017669776311,-355,-182,11,-349,-235,9
e77600cd,False,Street,E,True,True,0.5364372469635628,0.5546558704453441,0.05263157894736842,0.09811320754716982,0.32452830188679244,0.33584905660377357,0.1811320754716981,0.15471698113207547,134.7629100738153,-303,-210,7,-303,-220,7
fb8288ed,False,Street,E,True,True,0.5811965811965812,0.6495726495726496,0.042735042735042736,0.1264705882352941,0.28823529411764703,0.34705882352941175,0.16470588235294117,0.19705882352941176,92.15286793474755,-374,-223,8,-379,-272,10
7a9c6069,False,Student,D,False,True,0.6882352941176471,0.6529411764705882,0.029411764705882353,0.10256410256410256,0.3504273504273504,0.3162393162393162,0.20512820512820512,0.11965811965811966,92.15090839191444,-123,-89,4,-111,-95,2
9cf666e2,False,Student,D,False,True,0.6861702127659575,0.7978723404255319,0.03723404255319149,0.14728682170542637,0.34108527131782945,0.26356589147286824,0.20155038759689922,0.18604651162790697,101.45188913984431,-102,-65,4,-105,-87,3
a6710f7d,False,Student,D,False,True,0.7,0.8,0.04285714285714286,0.16326530612244897,0.3469387755102041,0.3469387755102041,0.12244897959183673,0.16326530612244897,100.74178232436515,-35,-35,1,-49,-37,2
4b43c5df,False,SumArray,A,False,True,0.5408163265306123,0.8061224489795918,0.061224489795918366,0.20754716981132076,0.3584905660377358,0.3584905660377358,0.18867924528301888,0.07547169811320754,77.29739318135249,-52,-24,3,-30,-16,2
fb8288ed,False,SumArray,A,False,True,0.49193548387096775,0.7903225806451613,0.024193548387096774,0.13114754098360656,0.2459016393442623,0.32786885245901637,0.18032786885245902,0.22950819672131148,98.63416129077068,-40,-31,3,-6,-2,2
6fdcd858,False,Vehicle,C,False,True,0.5339506172839507,0.8611111111111112,0.046296296296296294,0.15028901734104047,0.36416184971098264,0.37572254335260113,0.1676300578034682,0.08670520231213873,94.10156652903517,-173,-146,3,-178,-157,3
7a9c6069,False,Vehicle,C,False,True,0.684887459807074,0.842443729903537,0.01929260450160772,0.12206572769953052,0.3333333333333333,0.3615023474178404,0.13145539906103287,0.16901408450704225,89.79522777483689,-237,-186,5,-236,-194,4
a6710f7d,False,Vehicle,C,False,True,0.8394160583941606,0.8832116788321168,0.0364963503649635,0.14782608695652175,0.3826086956521739,0.3130434782608696,0.17391304347826086,0.12173913043478261,117.98258221599295,-107,-83,3,-103,-81,3
b9872ee6,False,Vehicle,C,False,True,0.6496062992125984,0.8858267716535433,0.015748031496062992,0.09090909090909091,0.2787878787878788,0.36363636363636365,0.21212121212121213,0.1393939393939394,81.88730085034011,-135,-120,4,-153,-128,3
e77600cd,False,Vehicle,C,False,True,0.7011070110701108,0.7601476014760148,0.01845018450184502,0.1368421052631579,0.30526315789473685,0.29473684210526313,0.22631578947368422,0.16842105263157894,131.5831657836442,-172,-150,3,-174,-155,3
03865400,True,Calculation,B,False,False,0.5283018867924528,0.5141509433962265,0.02830188679245283,0.08928571428571429,0.22321428571428573,0.23214285714285715,0.2857142857142857,0.25,88.66601268589504,-75,-60,3,-72,-65,3
07d16e43,True,Calculation,B,False,False,0.7857142857142857,0.8214285714285714,0.05952380952380952,0.18181818181818182,0.2727272727272727,0.2803030303030303,0.25757575757575757,0.18181818181818182,95.62089405557293,-114,-68,5,-114,-79,5
128d315e,True,Calculation,B,False,False,0.8595744680851064,0.8553191489361702,0.03829787234042553,0.19306930693069307,0.297029702970297,0.2623762376237624,0.2524752475247525,0.18316831683168316,70.16184645932364,-187,-113,7,-193,-118,6
1f8beed4,True,Calculation,B,False,False,0.7222222222222222,0.8148148148148148,0.037037037037037035,0.23076923076923078,0.3333333333333333,0.28205128205128205,0.23076923076923078,0.1282051282051282,165.64375073609702,-27,-24,2,-28,-28,1
24aed847,True,Calculation,B,False,False,0.71,0.67,0.07,0.14084507042253522,0.28169014084507044,0.2535211267605634,0.22535211267605634,0.22535211267605634,102.67049648673637,-49,-45,2,-49,-35,3
